schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
591,17742,17758,17770,16,12,1.1200161856116786
592,17770,17785,17796,15,11,1.0400150294965587
593,17796,17812,17823,16,11,1.0800156075541187
594,17823,17839,17851,16,12,1.1200161856116786
595,17851,17869,17881,18,12,1.2000173417267985
596,17881,17904,17915,23,11,1.3600196539570384
597,17915,17935,17947,20,12,1.2800184978419185
598,17947,17967,17978,20,11,1.2400179197843584
599,17978,17998,18010,20,12,1.2800184978419185
600,18010,18030,18041,20,11,1.2400179197843584
601,18041,18061,18073,20,12,1.2800184978419185
602,18073,18093,18104,20,11,1.2400179197843584
603,18104,18124,18135,20,11,1.2400179197843584
604,18135,18154,18166,19,12,1.2400179197843584
605,18166,18185,18197,19,12,1.2400179197843584
606,18197,18215,18226,18,11,1.1600167636692387
607,18226,18245,18256,19,11,1.2000173417267985
608,18256,18275,18286,19,11,1.2000173417267985
609,18286,18305,18317,19,12,1.2400179197843584
610,18317,18335,18346,18,11,1.1600167636692387
611,18346,18366,18377,20,11,1.2400179197843584
612,18377,18397,18408,20,11,1.2400179197843584
613,18408,18426,18438,18,12,1.2000173417267985
614,18438,18457,18468,19,11,1.2000173417267985
615,18468,18488,18499,20,11,1.2400179197843584
616,18499,18519,18530,20,11,1.2400179197843584
617,18530,18550,18561,20,11,1.2400179197843584
618,18561,18581,18593,20,12,1.2800184978419185
619,18593,18610,18621,17,11,1.1200161856116786
620,18621,18640,18651,19,11,1.2000173417267985
621,18651,18670,18681,19,11,1.2000173417267985
622,18681,18699,18710,18,11,1.1600167636692387
623,18710,18728,18739,18,11,1.1600167636692387
624,18739,18757,18769,18,12,1.2000173417267985
625,18769,18787,18798,18,11,1.1600167636692387
626,18798,18817,18828,19,11,1.2000173417267985
627,18828,18847,18858,19,11,1.2000173417267985
628,18858,18876,18887,18,11,1.1600167636692387
629,18887,18905,18916,18,11,1.1600167636692387
630,18916,18934,18946,18,12,1.2000173417267985
